,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"509,942,866","+383,266","6,245,317","+1,804","463,073,760","+1,024,475","40,623,789","42,461","65,421",801.2,,,
1,China,"203,334","+2,680","4,776",+51,"169,380","+2,982","29,178",274,141,3,"160,000,000","111,163","1,439,323,776"
2,USA,"82,733,863","+34,908","1,018,582",+141,"80,506,936","+41,585","1,208,345","1,415","247,323","3,045","1,001,145,653","2,992,809","334,517,050"
3,India,"43,062,097","+2,011","522,223",,"42,523,311","+1,970","16,563",698,"30,659",372,"834,717,702","594,287","1,404,569,267"
4,Brazil,"30,355,919","+6,456","662,777",+76,"29,411,813","+27,459","281,329","8,318","140,997","3,078","63,776,166","296,227","215,295,185"
5,France,"28,317,915","+13,984","145,257",+197,"26,083,461","+202,981","2,089,197","1,677","432,104","2,216","266,484,045","4,066,284","65,535,026"
6,Germany,"24,227,680","+86,980","134,817",+171,"21,425,200","+182,200","2,667,663","1,980","287,504","1,600","122,332,384","1,451,689","84,269,009"
7,UK,"21,978,198","+10,582","173,693",+114,"20,955,075","+172,725","849,430",339,"320,701","2,534","514,985,782","7,514,564","68,531,691"
8,Russia,"18,144,788","+7,651","375,061",+159,"17,483,483","+8,855","286,244","2,300","124,239","2,568","273,400,000","1,871,990","146,047,759"
9,S. Korea,"16,929,564","+34,370","22,243",+110,N/A,N/A,N/A,668,"329,696",433,"15,804,065","307,777","51,349,072"
10,Italy,"16,161,339","+24,878","162,781",+93,"14,755,958","+26,738","1,242,600",416,"268,012","2,699","211,830,644","3,512,896","60,300,862"
11,Turkey,"15,021,151","+2,604","98,706",+15,"14,888,995","+18,573","33,450",975,"174,701","1,148","158,372,522","1,841,923","85,982,165"
12,Spain,"11,786,036",,"103,908",,"11,261,340",,"420,788",339,"251,905","2,221","471,036,328","10,067,554","46,787,566"
13,Vietnam,"10,571,772","+7,417","43,021",+8,"9,092,760","+6,685","1,435,991",664,"106,867",435,"85,791,014","867,239","98,924,302"
14,Argentina,"9,072,230",,"128,542",,"8,895,999",,"47,689",372,"197,451","2,798","35,716,069","777,338","45,946,666"
15,Netherlands,"8,040,607","+1,390","22,227",+6,"7,706,644","+63,124","311,736",78,"467,382","1,292","21,107,399","1,226,923","17,203,518"
16,Japan,"7,660,012","+38,450","29,308",+24,"7,178,748","+43,345","451,956",191,"60,902",233,"46,754,605","371,731","125,775,499"
17,Iran,"7,217,117","+1,077","140,996",+21,"6,969,470","+2,516","106,651","1,031","83,979","1,641","50,862,245","591,839","85,939,287"
18,Colombia,"6,091,551",+208,"139,780",+2,"5,925,040",+295,"26,731",342,"117,451","2,695","34,388,490","663,041","51,864,812"
19,Indonesia,"6,044,467",+317,"156,133",+33,"5,875,083","+4,664","13,251","2,771","21,683",560,"95,024,563","340,883","278,760,259"
20,Poland,"5,991,464",+267,"115,948",,"5,334,380",+6,"541,136","1,588","158,624","3,070","36,032,893","953,969","37,771,563"
21,Mexico,"5,733,785",+271,"324,129",+12,"5,034,427",+535,"375,229","4,798","43,641","2,467","15,766,174","120,000","131,385,329"
22,Australia,"5,720,127","+30,750","7,002",+13,"5,353,033","+39,811","360,092",132,"219,705",269,"68,886,938","2,645,880","26,035,545"
23,Ukraine,"4,998,517",+224,"108,329",+3,N/A,N/A,N/A,177,"115,551","2,504","19,521,252","451,274","43,258,121"
24,Malaysia,"4,433,551","+2,478","35,507",+8,"4,330,037","+9,215","68,007",98,"133,876","1,072","58,425,629","1,764,232","33,116,757"
25,Thailand,"4,180,868","+14,994","27,902",+124,"3,978,469","+23,524","174,497","1,496","59,627",398,"17,270,775","246,313","70,117,100"
26,Austria,"4,108,970","+4,111","18,054",+7,"3,998,778","+8,918","92,138",124,"451,563","1,984","181,910,461","19,991,384","9,099,443"
27,Israel,"4,062,278","+4,506","10,673",+3,"4,022,613","+13,461","28,992",220,"435,586","1,144","41,373,364","4,436,346","9,326,000"
28,Belgium,"4,015,791",,"31,319",,"3,739,914","+13,457","244,558",169,"343,790","2,681","33,456,470","2,864,191","11,680,949"
29,Czechia,"3,896,149",+592,"40,099",+4,"3,840,825","+2,797","15,225",42,"362,603","3,732","55,122,500","5,130,083","10,744,953"
30,Portugal,"3,791,744",,"22,162",,N/A,N/A,N/A,61,"373,833","2,185","41,038,444","4,046,033","10,142,883"
31,South Africa,"3,764,865","+1,954","100,333",+30,"3,634,446","+1,149","30,086",175,"62,063","1,654","24,332,659","401,115","60,662,476"
32,Canada,"3,706,887","+7,204","38,847",+64,"3,431,944","+2,670","236,096",471,"96,681","1,013","60,625,588","1,581,208","38,341,304"
33,Philippines,"3,684,712",+213,"60,194",+12,"3,611,879","+1,221","12,639",289,"32,834",536,"29,446,030","262,392","112,221,547"
34,Switzerland,"3,579,867",,"13,816",,"3,395,378","+16,871","170,673",90,"408,231","1,576","20,666,182","2,356,673","8,769,219"
35,Peru,"3,561,677",+801,"212,761",+19,N/A,N/A,N/A,353,"105,365","6,294","29,673,543","877,828","33,803,361"
36,Chile,"3,547,977","+1,484","57,376",+1,"3,385,643","+7,448","104,958",263,"182,760","2,955","36,787,580","1,894,968","19,413,303"
37,Greece,"3,285,970","+8,413","28,933",+66,"3,178,081","+26,364","78,956",279,"318,072","2,801","79,010,158","7,647,956","10,330,885"
38,Denmark,"2,960,882",+910,"6,105",+21,"2,932,403","+1,686","22,374",15,"507,945","1,047","127,159,230","21,814,429","5,829,134"
39,Romania,"2,888,639",+321,"65,428",+1,"2,606,660",,"216,551",221,"151,991","3,443","22,601,950","1,189,240","19,005,377"
40,Sweden,"2,498,388",,"18,656",,"2,465,572","+1,151","14,160",19,"244,621","1,827","18,493,218","1,810,702","10,213,286"
41,Iraq,"2,324,384",+161,"25,207",+2,"2,296,548",+278,"2,629",27,"55,533",602,"18,457,500","440,976","41,856,010"
42,Serbia,"2,002,353",+699,"15,960",+4,"1,969,132",,"17,261",30,"230,855","1,840","9,439,734","1,088,322","8,673,656"
43,Bangladesh,"1,952,583",+27,"29,127",,"1,893,759",+299,"29,697","1,297","11,646",174,"13,968,195","83,313","167,660,051"
44,Hungary,"1,894,278","+3,325","46,101",+53,"1,788,191","+11,574","59,986",40,"196,994","4,794","11,315,178","1,176,710","9,615,941"
45,Slovakia,"1,775,178",+370,"19,852",+13,"1,731,726","+1,014","23,600",88,"324,861","3,633","7,059,789","1,291,953","5,464,430"
46,Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227",124,"163,117","1,353","16,670,254","1,604,988","10,386,526"
47,Georgia,"1,654,313",+58,"16,800",,"1,636,004",+213,"1,509",,"416,148","4,226","16,811,448","4,228,972","3,975,304"
48,Pakistan,"1,527,956",+100,"30,369",,"1,494,141",+143,"3,446",187,"6,682",133,"28,066,952","122,748","228,655,763"
49,Ireland,"1,512,812","+1,058","7,016",+20,"1,423,678","+7,729","82,118",43,"300,301","1,393","12,033,762","2,388,766","5,037,647"
50,Norway,"1,424,180",+551,"2,871",,N/A,N/A,N/A,20,"259,036",522,"11,002,430","2,001,172","5,497,994"
51,Kazakhstan,"1,305,465",+8,"13,660",,"1,290,997",+9,808,24,"68,052",712,"11,575,012","603,389","19,183,330"
52,Hong Kong,"1,202,291",+431,"9,267",+18,N/A,N/A,N/A,115,"158,048","1,218","44,972,952","5,911,966","7,607,106"
53,Singapore,"1,184,226","+2,058","1,331",+6,"1,115,829","+3,067","67,066",7,"199,578",224,"23,712,995","3,996,360","5,933,649"
54,Morocco,"1,164,717",+17,"16,066",+1,"1,148,272",+47,379,293,"30,892",426,"11,237,010","298,043","37,702,632"
55,Bulgaria,"1,153,506",+377,"36,856",+2,"960,286",+693,"156,364",108,"168,303","5,377","9,803,875","1,430,437","6,853,760"
56,Croatia,"1,117,822",+87,"15,790",+8,"1,098,112",+664,"3,920",24,"275,364","3,890","4,766,333","1,174,136","4,059,437"
57,Cuba,"1,101,968",+237,"8,525",,"1,092,199",+298,"1,244",23,"97,398",753,"12,920,253","1,141,960","11,314,099"
58,Lebanon,"1,096,462",+56,"10,378",+3,"1,079,455",,"6,629",186,"161,956","1,533","4,795,578","708,346","6,770,111"
59,Lithuania,"1,054,881",+261,"9,077",+11,"1,017,372",+869,"28,432",31,"397,537","3,421","8,219,492","3,097,551","2,653,545"
60,Tunisia,"1,039,532",,"28,533",,N/A,N/A,N/A,29,"86,322","2,369","4,563,397","378,940","12,042,521"
61,Slovenia,"1,004,836",+364,"6,582",+4,"981,840",+540,"16,414",30,"483,221","3,165","2,641,294","1,270,186","2,079,455"
62,Finland,"1,000,472",,"3,638",,"46,000",,"950,834",31,"180,061",655,"10,644,579","1,915,766","5,556,304"
63,Nepal,"978,762",+19,"11,951",,"966,540",+17,271,,"32,533",397,"5,620,394","186,815","30,085,409"
64,Belarus,"977,962",+149,"6,928",+2,"928,536",,"42,498",,"103,557",734,"13,108,317","1,388,050","9,443,695"
65,Bolivia,"904,479",+33,"21,908",,"855,804",+316,"26,767",220,"75,617","1,832","2,693,845","225,214","11,961,287"
66,UAE,"897,351",+215,"2,302",,"880,145",+358,"14,904",,"88,787",228,"154,699,849","15,306,590","10,106,748"
67,Uruguay,"895,775",,"7,197",,"886,654",,"1,924",18,"256,263","2,059","6,091,188","1,742,566","3,495,527"
68,New Zealand,"890,039","+5,750",644,+8,"830,557","+6,285","58,838",,"177,933",129,"6,983,031","1,396,020","5,002,100"
69,Ecuador,"868,285",,"35,581",,N/A,N/A,N/A,759,"47,897","1,963","2,470,170","136,262","18,128,046"
70,Costa Rica,"847,784",,"8,383",,"829,515",,"9,886",43,"163,717","1,619","4,240,743","818,939","5,178,340"
71,Guatemala,"842,653",+81,"17,525",+5,"822,744",+203,"2,384",5,"45,511",947,"4,417,854","238,604","18,515,442"
72,Latvia,"817,439",+123,"5,744",+1,"803,310",+175,"8,385",9,"442,229","3,107","7,155,876","3,871,278","1,848,453"
73,Azerbaijan,"792,496",,"9,707",,"782,646",,143,,"76,907",942,"6,794,952","659,407","10,304,643"
74,Panama,"772,086",+267,"8,182",,"760,466",+267,"3,438",8,"173,982","1,844","5,835,793","1,315,042","4,437,724"
75,Saudi Arabia,"753,526",+109,"9,079",+1,"740,871",+199,"3,576",43,"21,051",254,"41,838,185","1,168,816","35,795,358"
76,Sri Lanka,"663,195",+64,"16,502",,"646,109","+3,535",584,,"30,738",765,"6,486,117","300,620","21,575,813"
77,Paraguay,"649,034",,"18,795",,"624,673",,"5,566",5,"89,017","2,578","2,623,300","359,792","7,291,158"
78,Kuwait,"631,294",,"2,555",,"627,899",,840,8,"143,970",583,"7,999,656","1,824,362","4,384,906"
79,Myanmar,"612,770",+21,"19,434",,"591,666",+33,"1,670",,"11,127",353,"7,907,676","143,593","55,070,229"
80,Palestine,"581,940",,"5,353",,"576,242",,345,17,"109,469","1,007","3,078,533","579,104","5,316,030"
81,Dominican Republic,"579,114",,"4,376",,"574,446",,292,14,"52,433",396,"3,265,645","295,671","11,044,867"
82,Estonia,"570,402",+145,"2,533",+2,"507,736",+262,"60,133",4,"429,471","1,907","3,313,522","2,494,840","1,328,150"
83,Bahrain,"566,679",+407,"1,475",,"561,648",+427,"3,556",1,"313,330",816,"9,703,058","5,365,041","1,808,571"
84,Venezuela,"522,234",+58,"5,706",,"515,537",+74,991,230,"18,460",202,"3,359,014","118,735","28,290,073"
85,Moldova,"516,986",,"11,489",,"504,142",,"1,355",49,"128,700","2,860","3,216,305","800,676","4,016,989"
86,Egypt,"515,645",,"24,613",,"442,182",,"48,850",122,"4,872",233,"3,693,367","34,900","105,828,037"
87,Libya,"501,904",,"6,430",,"490,973",,"4,501",101,"71,289",913,"2,477,219","351,855","7,040,449"
88,Cyprus,"470,481",,"1,011",,"124,370",,"345,100",60,"384,608",826,"9,477,138","7,747,361","1,223,273"
89,Ethiopia,"470,442",+8,"7,510",,"454,975",+8,"7,957",15,"3,917",63,"4,768,333","39,697","120,116,835"
90,Mongolia,"469,595",+15,"2,177",,"313,256",,"154,162",192,"139,186",645,"4,030,048","1,194,492","3,373,858"
91,Armenia,"422,828",+3,"8,622",,"410,571",+13,"3,635",,"142,210","2,900","3,037,290","1,021,532","2,973,271"
92,Honduras,"422,275",,"10,892",,"131,100",,"280,283",105,"41,441","1,069","1,263,329","123,980","10,189,775"
93,Oman,"389,074",+21,"4,258",+1,"384,172",+27,644,4,"72,838",797,"25,000,000","4,680,204","5,341,647"
94,Bosnia and Herzegovina,"376,841",+77,"15,762",+4,"192,218",,"168,861",,"116,170","4,859","1,754,925","540,996","3,243,877"
95,Réunion,"374,295",,742,,"355,605",,"17,948",10,"412,728",818,"1,603,660","1,768,325","906,881"
96,Qatar,"364,300",+113,677,,"362,776",+102,847,2,"129,745",241,"3,426,742","1,220,434","2,807,805"
97,Kenya,"323,718",+9,"5,649",,"317,919",+10,150,,"5,789",101,"3,586,406","64,140","55,914,924"
98,Zambia,"319,316",+332,"3,976",+2,"314,524",+449,816,,"16,532",206,"3,416,956","176,902","19,315,550"
99,North Macedonia,"309,208",+146,"9,276",+5,"299,302",+238,630,,"148,428","4,453","2,011,275","965,465","2,083,219"
100,Botswana,"305,859",,"2,688",,"303,026",,145,1,"125,477","1,103","2,026,898","831,525","2,437,567"
101,Albania,"274,834",+6,"3,496",,"270,916",+23,422,2,"95,691","1,217","1,800,323","626,830","2,872,108"
102,Algeria,"265,771",+4,"6,875",,"178,349",+3,"80,547",6,"5,869",152,"230,861","5,098","45,284,357"
103,Nigeria,"255,685",,"3,143",,"249,890",,"2,652",11,"1,187",15,"5,036,813","23,385","215,385,391"
104,Zimbabwe,"247,598",+44,"5,468",,"241,460",+34,670,12,"16,231",358,"2,243,803","147,090","15,254,612"
105,Uzbekistan,"238,503",+34,"1,637",,"236,515",+32,351,23,"6,944",48,"1,377,915","40,117","34,347,324"
106,Luxembourg,"235,276","+1,310","1,062",+4,"224,212","+2,711","10,002",1,"365,101","1,648","4,217,884","6,545,312","644,413"
107,Montenegro,"234,760",+53,"2,713",,"231,409",+33,638,6,"373,697","4,319","2,446,294","3,894,070","628,210"
108,Mozambique,"225,366",+1,"2,201",,"223,106",+2,59,13,"6,863",67,"1,310,291","39,899","32,839,892"
109,Laos,"205,499",+229,734,+2,"7,660",,"197,105",,"27,522",98,"1,232,128","165,017","7,466,687"
110,Kyrgyzstan,"200,990",+7,"2,991",,"196,386",,"1,613",131,"29,913",445,"1,907,195","283,849","6,719,045"
111,Iceland,"185,254",+32,114,,"75,685",,"109,455",,"536,575",330,"1,953,616","5,658,506","345,253"
112,Maldives,"179,171",+288,298,,"163,687",,"15,186",25,"321,223",534,"2,213,831","3,969,025","557,777"
113,Afghanistan,"178,745",+56,"7,683",+1,"161,790",+42,"9,272","1,124","4,412",190,"941,314","23,234","40,515,013"
114,Uganda,"164,069",,"3,596",,"100,205",,"60,268",2,"3,393",74,"2,612,795","54,034","48,354,471"
115,El Salvador,"162,089",,"4,128",+1,"150,662",,"7,299",8,"24,764",631,"1,950,448","297,985","6,545,463"
116,Ghana,"161,157",+33,"1,445",,"159,669",+14,43,1,"4,998",45,"2,434,977","75,510","32,246,878"
117,Namibia,"158,379",+21,"4,025",,"153,662",,692,,"60,353","1,534","1,002,457","382,005","2,624,198"
118,Martinique,"147,519",,918,,104,,"146,497",8,"393,659","2,450","828,928","2,212,020","374,738"
119,Trinidad and Tobago,"145,021",+458,"3,816",+3,"134,078",+244,"7,127",18,"103,020","2,711","697,725","495,651","1,407,693"
120,Brunei,"141,269",+150,218,,"140,052",+170,999,,"317,413",490,"717,784","1,612,769","445,063"
121,Guadeloupe,"140,130",,854,,"2,250",,"137,026",19,"350,108","2,134","938,039","2,343,644","400,248"
122,Cambodia,"136,228",+12,"3,056",,"132,945",+24,227,,"7,949",178,"2,946,965","171,956","17,137,853"
123,Rwanda,"129,767",,"1,458",,"45,522",,"82,787",,"9,589",108,"5,233,320","386,701","13,533,238"
124,Jamaica,"129,632",+70,"2,948",,"83,068",+62,"43,616",,"43,434",988,"987,440","330,848","2,984,569"
125,Cameroon,"119,780",,"1,927",,"117,791",,62,13,"4,318",69,"1,751,774","63,146","27,741,645"
126,Angola,"99,194",,"1,900",,"97,149",,145,,"2,857",55,"1,499,795","43,202","34,715,954"
127,Malta,"90,773",+178,692,+4,"85,151",+505,"4,930",4,"204,595","1,560","1,874,109","4,224,087","443,672"
128,DRC,"87,023",,"1,337",,"50,930",,"34,756",,921,14,"846,704","8,961","94,487,750"
129,Senegal,"85,989",+1,"1,967",,"84,006",+2,16,,"4,902",112,"1,065,534","60,741","17,542,364"
130,Malawi,"85,747",,"2,633",,"81,938",,"1,176",67,"4,282",131,"571,585","28,544","20,024,465"
131,Ivory Coast,"81,898",+11,799,,"81,073",+12,26,,"2,972",29,"1,496,066","54,283","27,560,335"
132,French Guiana,"80,422",,394,,"11,254",,"68,774",1,"257,193","1,260","622,646","1,991,250","312,691"
133,Suriname,"79,302",,"1,327",,"49,396",,"28,579",,"133,024","2,226","235,824","395,579","596,149"
134,Channel Islands,"73,776",+167,167,+1,"72,350",+291,"1,259",,"417,370",945,"1,252,808","7,087,461","176,764"
135,French Polynesia,"72,678",+30,648,,N/A,N/A,N/A,7,"256,045","2,283",,,"283,848"
136,Eswatini,"70,303",+9,"1,397",,"68,813",+25,93,11,"59,482","1,182","1,013,012","857,095","1,181,913"
137,Barbados,"67,934",+323,390,+1,"64,319",+358,"3,225",,"235,872","1,354","642,390","2,230,428","288,012"
138,Fiji,"64,535",+2,862,,"62,690",+6,983,,"71,058",949,"506,984","558,225","908,207"
139,Madagascar,"64,152",,"1,391",,"59,370",,"3,391",14,"2,214",48,"422,372","14,575","28,979,215"
140,Guyana,"63,420",+4,"1,228",,"62,112",+7,80,1,"79,932","1,548","591,338","745,299","793,424"
141,Sudan,"62,093",,"4,930",,N/A,N/A,N/A,,"1,359",108,"562,941","12,318","45,702,089"
142,Taiwan,"61,683","+5,218",856,,"24,010",+281,"36,817",,"2,581",36,"14,343,527","600,278","23,894,825"
143,New Caledonia,"60,457",,312,,"60,064",,81,9,"208,137","1,074","98,964","340,707","290,467"
144,Mauritania,"58,685",+2,982,,"57,694",+1,9,,"12,048",202,"800,513","164,349","4,870,814"
145,Bhutan,"57,909",+138,20,,"54,567","+1,487","3,322",3,"73,583",25,"2,287,623","2,906,797","786,991"
146,Belize,"57,454",+35,676,,"56,562",+28,216,6,"139,895","1,646","536,698","1,306,808","410,694"
147,Cabo Verde,"56,008",+4,401,,"55,541",+3,66,23,"98,793",707,"400,982","707,299","566,920"
148,Syria,"55,799",+2,"3,150",,"52,111",+10,538,,"3,054",172,"146,269","8,006","18,270,009"
149,Gabon,"47,597",,303,,"47,282",,12,,"20,509",131,"1,592,483","686,185","2,320,777"
150,Papua New Guinea,"43,732",,649,,"43,025",,58,7,"4,726",70,"249,149","26,924","9,253,793"
151,Seychelles,"42,079",,165,,"41,260",,654,,"423,121","1,659",,,"99,449"
152,Curaçao,"41,966",,273,,"41,251",,442,3,"253,866","1,651","496,693","3,004,652","165,308"
153,Andorra,"41,013",,153,,"40,343",,517,14,"529,275","1,974","249,838","3,224,174","77,489"
154,Burundi,"39,144",,38,,773,,"38,333",,"3,124",3,"345,742","27,590","12,531,535"
155,Mauritius,"37,544",+12,990,,"35,738",+82,816,,"29,433",776,"358,675","281,184","1,275,589"
156,Mayotte,"37,038",,187,,"2,964",,"33,887",,"130,083",657,"176,919","621,364","284,727"
157,Togo,"36,979",+2,273,,"36,688",+9,18,,"4,285",32,"728,536","84,420","8,629,866"
158,Guinea,"36,459",,440,,"35,976",,43,8,"2,646",32,"660,107","47,912","13,777,371"
159,Faeroe Islands,"34,658",,28,,"7,693",,"26,937",5,"704,445",569,"778,000","15,813,330","49,199"
160,Aruba,"34,589",,212,,"34,251",,126,2,"321,498","1,970","177,885","1,653,406","107,587"
161,Tanzania,"33,864",,803,,N/A,N/A,N/A,7,539,13,,,"62,812,777"
162,Bahamas,"33,488",+5,789,,"32,315",+5,384,11,"83,710","1,972","229,817","574,475","400,047"
163,Lesotho,"32,910",,697,,"24,155",,"8,058",,"15,145",321,"431,221","198,445","2,172,997"
164,Mali,"30,752",+12,731,,"29,828",+15,193,,"1,443",34,"664,653","31,195","21,306,210"
165,Haiti,"30,640",,835,,"29,389",,416,,"2,629",72,"132,422","11,363","11,654,187"
166,Isle of Man,"28,416",,87,,"26,794",,"1,535",,"331,004","1,013","150,753","1,756,046","85,848"
167,Benin,"26,952",,163,,"25,506",,"1,283",5,"2,123",13,"604,310","47,592","12,697,801"
168,Somalia,"26,485",,"1,350",,"13,182",,"11,953",,"1,586",81,"400,466","23,986","16,695,537"
169,Congo,"24,079",,385,,"20,178",,"3,516",,"4,178",67,"347,815","60,344","5,763,877"
170,Saint Lucia,"23,285",+46,368,,"22,765",+29,152,1,"125,765","1,988","142,871","771,663","185,147"
171,Timor-Leste,"22,860",,130,,"22,714",,16,,"16,761",95,"261,459","191,700","1,363,898"
172,Cayman Islands,"21,755",,26,,"8,553",,"13,176",1,"324,126",387,"222,773","3,319,075","67,119"
173,Burkina Faso,"20,853",,382,,"20,439",,32,,950,17,"248,995","11,349","21,940,430"
174,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,732",33,,,"6,767,248"
175,Gibraltar,"17,706",,102,,"16,579",,"1,025",,"525,822","3,029","534,283","15,866,807","33,673"
176,South Sudan,"17,443",+21,138,,"13,514",,"3,791",1,"1,526",12,"378,620","33,121","11,431,325"
177,Tajikistan,"17,388",,124,,"17,264",,0,,"1,752",12,,,"9,925,345"
178,Liechtenstein,"17,105",+2,85,,"16,873",+42,147,,"446,303","2,218","102,174","2,665,919","38,326"
179,San Marino,"16,186",+46,114,,"15,702",+40,370,4,"475,220","3,347","149,271","4,382,590","34,060"
180,Equatorial Guinea,"15,907",,183,,"15,698",,26,5,"10,702",123,"310,972","209,215","1,486,373"
181,Djibouti,"15,611",,189,,"15,411",,11,,"15,395",186,"303,924","299,725","1,014,010"
182,CAR,"14,649",,113,,"6,859",,"7,677",2,"2,941",23,"81,294","16,318","4,981,772"
183,Grenada,"14,428",,220,,"13,945",,263,4,"127,156","1,939","148,567","1,309,341","113,467"
184,Solomon Islands,"14,182",,140,,"12,763",,"1,279",2,"19,770",195,"5,117","7,133","717,366"
185,Bermuda,"13,143",,131,,"12,719",,293,,"212,460","2,118","866,313","14,004,187","61,861"
186,Dominica,"12,011",,63,,"11,926",,22,,"166,104",871,"187,690","2,595,630","72,310"
187,Gambia,"11,995",,365,,"11,591",,39,,"4,723",144,"155,686","61,305","2,539,515"
188,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,209",369,"164,926","2,896,081","56,948"
189,Yemen,"11,818",,"2,149",,"9,009",,660,23,381,69,"265,253","8,552","31,014,835"
190,Monaco,"11,632",+27,54,,"11,464",+68,114,4,"292,658","1,359","54,960","1,382,781","39,746"
191,Saint Martin,"10,279",,63,,"1,399",,"8,817",7,"257,878","1,581","112,382","2,819,418","39,860"
192,Sint Maarten,"10,018",+16,86,,"9,859",+9,73,10,"228,946","1,965","62,056","1,418,196","43,757"
193,Tonga,"9,799",+102,11,,"8,427",+121,"1,361",,"90,846",102,"408,213","3,784,516","107,864"
194,Eritrea,"9,733",,103,,"9,629",,1,,"2,677",28,"23,693","6,518","3,635,280"
195,Caribbean Netherlands,"9,711",+119,34,,"9,579",+187,98,,"364,199","1,275","30,126","1,129,838","26,664"
196,Niger,"8,916",+2,309,,"8,508",,99,1,346,12,"249,437","9,671","25,791,706"
197,Guinea-Bissau,"8,186",+1,171,,"7,528",+13,487,6,"3,989",83,"133,360","64,985","2,052,178"
198,Comoros,"8,100",,160,,"7,933",,7,,"8,969",177,,,"903,127"
199,Sierra Leone,"7,681",,125,,N/A,N/A,N/A,,929,15,"259,958","31,432","8,270,591"
200,Antigua and Barbuda,"7,571",,135,,"7,402",,34,1,"76,169","1,358","18,901","190,157","99,397"
201,Liberia,"7,432",,294,,"5,747",,"1,391",2,"1,409",56,"139,824","26,518","5,272,811"
202,Chad,"7,411",+15,193,,"4,874",,"2,344",,429,11,"191,341","11,074","17,278,693"
203,Samoa,"7,185",,13,,"1,605",,"5,567",3,"35,782",65,"53,893","268,390","200,801"
204,Vanuatu,"6,864",+9,13,+1,"6,405",+21,446,5,"21,441",41,"24,976","78,017","320,134"
205,St. Vincent Grenadines,"6,779",,106,,"6,641",,32,,"60,756",950,"98,860","886,017","111,578"
206,British Virgin Islands,"6,296",,62,,N/A,N/A,N/A,1,"205,785","2,026","102,862","3,362,053","30,595"
207,Sao Tome and Principe,"5,957",+4,73,,"5,880",+5,4,,"26,297",322,"29,036","128,180","226,526"
208,Turks and Caicos,"5,941",,36,,"5,862",,43,4,"149,779",908,"478,593","12,065,877","39,665"
209,Saint Kitts and Nevis,"5,562",+1,43,,"5,518",+1,1,,"103,229",798,"65,141","1,209,001","53,880"
210,Cook Islands,"4,727",,1,+1,"3,990",,736,,"268,686",57,"15,740","894,674","17,593"
211,St. Barth,"4,432",,6,,N/A,N/A,N/A,,"446,234",604,"78,646","7,918,445","9,932"
212,Palau,"4,396",,6,,"3,879",,511,1,"240,877",329,"45,500","2,493,151","18,250"
213,Kiribati,"3,080",+4,13,,"2,599",+2,468,3,"25,088",106,,,"122,767"
214,Anguilla,"2,731",,9,,"2,716",,6,4,"179,141",590,"51,382","3,370,417","15,245"
215,Saint Pierre Miquelon,"2,641",,1,,"2,449",,191,1,"459,864",174,"22,941","3,994,602","5,743"
216,Diamond Princess,712,,13,,699,,0,,,,,,
217,Wallis and Futuna,454,,7,,438,,9,,"41,716",643,"20,508","1,884,407","10,883"
218,Montserrat,207,+18,2,,174,,31,,"41,425",400,"9,716","1,944,367","4,997"
219,Falkland Islands,128,,,,N/A,N/A,N/A,,"34,944",,"8,632","2,356,538","3,663"
220,Macao,82,,,,82,,0,,123,,"5,375","8,078","665,360"
221,Vatican City,29,,,,29,,0,,"36,025",,,,805
222,Marshall Islands,17,+2,,,7,,10,,284,,,,"59,913"
223,Western Sahara,10,,1,,9,,0,,16,2,,,"623,916"
224,MS Zaandam,9,,2,,7,,0,,,,,,
225,Niue,8,,,,7,,1,,"4,860",,,,"1,646"
226,Micronesia,3,+2,,,1,,2,,26,,,,"117,206"
227,Nauru,3,,,,3,,0,,274,,,,"10,947"
228,Saint Helena,2,,,,2,,0,,327,,,,"6,110"
229,Total:,"509,942,866","+383,266","6,245,317","+1,804","463,073,760","+1,024,475","40,623,789","42,461","65,420.9",801.2,,,
